token_0,BIO_tag_0
 ,O
peningkatan,
 ,O
tiga,
 ,O
persen,
 ,O
kasus,
 ,O
kematian,
 ,O
akibat,
 ,O
Covid,
-,O
19,
 ,O
secara,O
 ,O
nasional,
.,
 ,O
Dunia,
 ,O
Kampus,
 ,O
Jumlah,
 ,O
Guru,
 ,O
Besar,
 ,O
UNS,
 ,O
kini,
 ,O
menjadi,
 ,O
224,
 ,O
orang,
.,
 ,O
Liga,
 ,O
Indonesia,
 ,O
Tim,
 ,O
Kroasia,
 ,O
U,
-,O
19,
 ,O
akan,O
 ,O
menjajal,
 ,O
kekuatan,
 ,O
timnas,
 ,O
Indonesia,
 ,O
U,
-,O
19,
.,
 ,O
7,
 ,O
PHOTO,
 ,O
5,
 ,O
PHOTO,
 ,O
4,
 ,O
PHOTO,
 ,O
3,
 ,O
PHOTO,
 ,O
7,
 ,O
PHOTO,
 ,O
Selasa,
 ,O
",",O
 ,O
08,
 ,O
Sep,
 ,O
2020,
",",O
 ,O
00:45,
 ,O
WIB,
 ,O
Selasa,
 ,O
",",O
 ,O
08,
 ,O
Sep,
 ,O
2020,
",",O
 ,O
19:17,
 ,O
WIB,
 ,O
Phone,
:,O
 ,O
021,
 ,O
780,
 ,O
3747Fax,
:,O
 ,O
021,
 ,O
799,
 ,O
7903Email,
:,O
 ,O
newsroom,
@,O
rol.republika.co.id,
 ,O
(,
Redaksi,
),
 ,O
sekretariat,
@,O
republika.co.id,
 ,O
(,
Redaksi,
),
 ,O
marketing,
@,O
rol.republika.co.id,
 ,O
(,
Marketing,
),
 ,O
Copyright,
 ,O
©,
 ,O
2018,
 ,O
republika.co.id,
",",O
 ,O
All,
 ,O
right,
 ,O
reserved,
